Top Team,Bottom Team,Winner
Golden State Warriors,Cleveland Cavaliers,Golden State Warriors
Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers
Golden State Warriors,Houston Rockets,Golden State Warriors
Atlanta Hawks,Washington Wizards,Atlanta Hawks
Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers
Golden State Warriors,Memphis Grizzlies,Golden State Warriors
Houston Rockets,Los Angeles Clippers,Houston Rockets
Atlanta Hawks,Brooklyn Nets,Atlanta Hawks
Toronto Raptors,Washington Wizards,Washington Wizards
Chicago Bulls,Milwaukee Bucks,Chicago Bulls
Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers
Golden State Warriors,New Orleans Pelicans,Golden State Warriors
Portland Trail Blazers,Memphis Grizzlies,Memphis Grizzlies
Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers
Houston Rockets,Dallas Mavericks,Houston Rockets
