Top_Team,Bottom_Team,Winner
Golden State Warriors,Cleveland Cavaliers,Golden State Warriors
Boston Celtics,Cleveland Cavaliers,Cleveland Cavaliers
Golden State Warriors,San Antonio Spurs,Golden State Warriors
Boston Celtics,Washington Wizards,Boston Celtics
Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers
Golden State Warriors,Utah Jazz,Golden State Warriors
San Antonio Spurs,Houston Rockets,San Antonio Spurs
Boston Celtics,Chicago Bulls,Boston Celtics
Washington Wizards,Atlanta Hawks,Washington Wizards
Toronto Raptors,Milwaukee Bucks,Toronto Raptors
Cleveland Cavaliers,Indiana Pacers,Cleveland Cavaliers
Golden State Warriors,Portland Trail Blazers,Golden State Warriors
Los Angeles Clippers,Utah Jazz,Utah Jazz
Houston Rockets,Oklahoma City Thunder,Houston Rockets
San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs
