FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
3.8,3.3,0.03,2.4,2.0,0.05,1.5,1.3,0.01,0.4,0.1,0.02,-0.6,2.3,1.7,6.2,1.7,2.2,1.6,0.4,10.6,16.0,False
-3.8,-3.3,-0.03,-2.4,-2.0,-0.05,-1.5,-1.3,-0.01,-0.4,-0.1,-0.02,0.6,-2.3,-1.7,-6.2,-1.7,-2.2,-1.6,-0.4,-10.6,-16.0,True
3.8,3.3,0.03,2.4,2.0,0.05,1.5,1.3,0.01,0.4,0.1,0.02,-0.6,2.3,1.7,6.2,1.7,2.2,1.6,0.4,10.6,16.0,False
-3.8,-3.3,-0.03,-2.4,-2.0,-0.05,-1.5,-1.3,-0.01,-0.4,-0.1,-0.02,0.6,-2.3,-1.7,-6.2,-1.7,-2.2,-1.6,-0.4,-10.6,-16.0,False
-3.8,-3.3,-0.03,-2.4,-2.0,-0.05,-1.5,-1.3,-0.01,-0.4,-0.1,-0.02,0.6,-2.3,-1.7,-6.2,-1.7,-2.2,-1.6,-0.4,-10.6,-16.0,True
3.8,3.3,0.03,2.4,2.0,0.05,1.5,1.3,0.01,0.4,0.1,0.02,-0.6,2.3,1.7,6.2,1.7,2.2,1.6,0.4,10.6,16.0,True
3.8,3.3,0.03,2.4,2.0,0.05,1.5,1.3,0.01,0.4,0.1,0.02,-0.6,2.3,1.7,6.2,1.7,2.2,1.6,0.4,10.6,16.0,True
1.4,0.9,0.01,4.8,7.9,0.07,-3.5,-6.9,0.0,-3.0,-3.4,-0.02,-3.1,0.6,-2.4,5.9,1.0,0.2,-0.7,0.1,4.7,18.0,True
-1.4,-0.9,-0.01,-4.8,-7.9,-0.07,3.5,6.9,-0.0,3.0,3.4,0.02,3.1,-0.6,2.4,-5.9,-1.0,-0.2,0.7,-0.1,-4.7,-18.0,False
-2.0,-2.7,-0.01,-2.1,-6.2,0.01,0.1,3.6,-0.03,4.5,5.0,0.03,-0.4,-0.7,-1.1,-4.0,1.1,1.6,-0.5,-0.7,-1.6,-1.0,False
1.4,0.9,0.01,4.8,7.9,0.07,-3.5,-6.9,0.0,-3.0,-3.4,-0.02,-3.1,0.6,-2.4,5.9,1.0,0.2,-0.7,0.1,4.7,18.0,True
2.0,2.7,0.01,2.1,6.2,-0.01,-0.1,-3.6,0.03,-4.5,-5.0,-0.03,0.4,0.7,1.1,4.0,-1.1,-1.6,0.5,0.7,1.6,1.0,True
-1.4,-0.9,-0.01,-4.8,-7.9,-0.07,3.5,6.9,-0.0,3.0,3.4,0.02,3.1,-0.6,2.4,-5.9,-1.0,-0.2,0.7,-0.1,-4.7,-18.0,True
-2.0,-2.7,-0.01,-2.1,-6.2,0.01,0.1,3.6,-0.03,4.5,5.0,0.03,-0.4,-0.7,-1.1,-4.0,1.1,1.6,-0.5,-0.7,-1.6,-1.0,True
-1.4,-0.9,-0.01,-4.8,-7.9,-0.07,3.5,6.9,-0.0,3.0,3.4,0.02,3.1,-0.6,2.4,-5.9,-1.0,-0.2,0.7,-0.1,-4.7,-18.0,True
-2.0,-2.7,-0.01,-2.1,-6.2,0.01,0.1,3.6,-0.03,4.5,5.0,0.03,-0.4,-0.7,-1.1,-4.0,1.1,1.6,-0.5,-0.7,-1.6,-1.0,True
2.0,2.7,0.01,2.1,6.2,-0.01,-0.1,-3.6,0.03,-4.5,-5.0,-0.03,0.4,0.7,1.1,4.0,-1.1,-1.6,0.5,0.7,1.6,1.0,True
1.4,0.9,0.01,4.8,7.9,0.07,-3.5,-6.9,0.0,-3.0,-3.4,-0.02,-3.1,0.6,-2.4,5.9,1.0,0.2,-0.7,0.1,4.7,18.0,True
2.0,2.7,0.01,2.1,6.2,-0.01,-0.1,-3.6,0.03,-4.5,-5.0,-0.03,0.4,0.7,1.1,4.0,-1.1,-1.6,0.5,0.7,1.6,1.0,True
1.4,0.9,0.01,4.8,7.9,0.07,-3.5,-6.9,0.0,-3.0,-3.4,-0.02,-3.1,0.6,-2.4,5.9,1.0,0.2,-0.7,0.1,4.7,18.0,False
-1.7,-0.4,-0.02,2.5,5.4,0.03,-4.3,-5.6,-0.03,3.7,3.7,0.03,0.4,-1.1,-0.7,-2.1,1.1,-1.0,-1.0,1.3,2.7,8.0,True
1.7,0.4,0.02,-2.5,-5.4,-0.03,4.3,5.6,0.03,-3.7,-3.7,-0.03,-0.4,1.1,0.7,2.1,-1.1,1.0,1.0,-1.3,-2.7,-8.0,True
1.0,3.5,-0.01,1.3,5.2,-0.03,-0.3,-1.8,0.01,3.3,4.8,-0.02,3.7,1.1,4.7,-1.5,-0.9,0.0,2.8,3.1,6.7,-12.0,True
